id,account_number,body,isPinned,author,createdAt
NOTE-54F0E9F8,A-10000085,Called customer re: high usage query - resolved,False,agent.882@origin.com.au,2026-03-12
NOTE-0A98A8B0,A-10000086,Address update processed,False,agent.463@origin.com.au,2026-03-24
NOTE-D5737DEC,A-10000086,Payment arrangement discussed with customer,False,agent.342@origin.com.au,2025-12-07
NOTE-7DF0EF4C,A-10000087,Meter access confirmed for next read,False,agent.705@origin.com.au,2026-04-30
NOTE-D8E4C622,A-10000088,Meter access confirmed for next read,False,agent.681@origin.com.au,2025-12-14
NOTE-CCDA9004,A-10000088,Payment arrangement discussed with customer,False,agent.676@origin.com.au,2026-03-20
NOTE-7373A463,A-10000089,Customer queries green tariff options,False,agent.416@origin.com.au,2026-03-24
NOTE-2D0397E9,A-10000090,Customer requested billing suspension,True,agent.138@origin.com.au,2026-05-02
NOTE-A3557B3E,A-10000092,DO NOT BILL - pending dispute resolution,True,agent.120@origin.com.au,2026-04-04
NOTE-4AAAC3B8,A-10000092,Called customer re: high usage query - resolved,False,agent.439@origin.com.au,2025-12-01
NOTE-E7D35644,A-10000095,Payment arrangement discussed with customer,False,agent.921@origin.com.au,2026-02-14
NOTE-46B39062,A-10000099,Payment arrangement discussed with customer,False,agent.892@origin.com.au,2026-04-09
NOTE-187FCEC4,A-10000099,Customer queries green tariff options,False,agent.981@origin.com.au,2026-02-03
